query11.log,1:10.30
query12.log,0:00.26
query13.log,0:01.69
query15.log,0:03.95
query16.log,0:02.67
query17.log,0:01.09
query18.log,0:04.30
query19.log,0:00.22
query1.log,0:36.69
query20.log,0:00.42
query21.log,0:00.85
query22.log,0:04.89
query23.log,0:32.51
query24.log,0:07.01
query25.log,0:00.66
query26.log,0:05.22
query27.log,0:15.67
query28.log,0:04.36
query29.log,0:00.42
query2.log,0:04.40
query30.log,0:00.77
query31.log,0:23.88
query32.log,0:00.22
query33.log,0:06.13
query34.log,0:03.33
query36.log,0:11.71
query37.log,0:00.18
query38.log,0:04.08
query39.log,0:04.59
query3.log,0:00.01
query40.log,0:00.22
query41.log,0:01.76
query42.log,0:00.06
query43.log,0:03.53
query44.log,0:02.81
query45.log,0:00.99
query46.log,0:04.32
query47.log,0:20.01
query48.log,0:02.20
query49.log,0:00.17
query4.log,1:35.84
query50.log,0:00.23
query51.log,0:09.14
query52.log,0:00.06
query53.log,0:00.42
query54.log,0:08.18
query55.log,0:00.03
query56.log,0:00.23
query57.log,0:08.31
query58.log,0:04.99
query59.log,0:05.81
query60.log,0:01.48
query61.log,0:00.00
query62.log,0:01.92
query63.log,0:00.43
query64.log,0:00.91
query65.log,0:05.48
query66.log,0:01.56
query67.log,0:14.02
query68.log,0:03.72
query69.log,0:04.21
query6.log,1:23.70
query70.log,0:05.68
query71.log,0:04.20
query72.log,0:03.33
query73.log,0:03.18
query74.log,0:16.11
query75.log,0:02.84
query76.log,0:01.87
query77.log,0:05.63
query78.log,0:23.08
query79.log,0:03.75
query7.log,0:07.58
query80.log,0:01.12
query81.log,0:00.63
query82.log,0:00.25
query83.log,0:00.69
query84.log,0:00.32
query85.log,0:00.29
query86.log,0:00.82
query87.log,0:04.87
query88.log,0:11.13
query89.log,0:00.98
query8.log,2:19.08
query90.log,0:01.01
query91.log,0:00.14
query92.log,0:00.06
query93.log,0:00.13
query94.log,0:00.78
query95.log,0:04.77
query96.log,0:01.20
query97.log,0:07.98
query98.log,0:00.67
query99.log,0:03.24
query9.log,0:05.80
