query11.log,2:36.00
query12.log,0:00.43
query13.log,0:03.29
query15.log,0:08.74
query16.log,0:06.21
query17.log,0:01.34
query18.log,0:12.79
query19.log,0:00.25
query1.log,1:23.85
query20.log,0:00.74
query21.log,0:01.37
query22.log,0:07.26
query23.log,1:17.21
query24.log,0:08.48
query25.log,0:01.14
query26.log,0:07.81
query27.log,0:47.23
query28.log,0:08.76
query29.log,0:00.83
query2.log,0:08.64
query30.log,0:02.42
query31.log,0:48.99
query32.log,0:00.67
query33.log,0:12.89
query34.log,0:06.01
query36.log,0:36.30
query37.log,0:00.25
query38.log,0:13.28
query39.log,0:07.37
query3.log,0:00.01
query40.log,0:00.43
query41.log,0:03.87
query42.log,0:00.10
query43.log,0:06.78
query44.log,0:05.45
query45.log,0:01.92
query46.log,0:18.16
query47.log,0:27.47
query48.log,0:05.25
query49.log,0:00.33
query4.log,3:41.99
query50.log,0:00.46
query51.log,0:20.30
query52.log,0:00.10
query53.log,0:00.38
query54.log,0:21.80
query55.log,0:00.09
query56.log,0:00.49
query57.log,0:17.70
query58.log,0:08.20
query59.log,0:10.95
query60.log,0:02.82
query61.log,0:00.00
query62.log,0:03.47
query63.log,0:00.39
query64.log,0:01.63
query65.log,0:11.81
query66.log,0:05.38
query67.log,0:15.11
query68.log,0:07.19
query69.log,0:07.86
query6.log,2:56.89
query70.log,0:14.70
query71.log,0:07.25
query72.log,0:06.12
query73.log,0:05.73
query74.log,0:36.44
query75.log,0:05.30
query76.log,0:03.71
query77.log,0:13.16
query78.log,0:46.79
query79.log,0:09.31
query7.log,0:14.52
query80.log,0:01.31
query81.log,0:02.02
query82.log,0:00.32
query83.log,0:01.21
query84.log,0:00.52
query85.log,0:00.74
query86.log,0:01.81
query87.log,0:12.66
query88.log,0:21.33
query89.log,0:01.31
query8.log,6:30.63
query90.log,0:01.92
query91.log,0:00.35
query92.log,0:00.18
query93.log,0:00.27
query94.log,0:01.56
query95.log,0:09.25
query96.log,0:02.32
query97.log,0:16.07
query98.log,0:01.55
query99.log,0:06.55
query9.log,0:11.26
